calc_R11,calc_R12,calc_R13,calc_01,calc_R21,calc_R22,calc_R23,calc_02,calc_R31,calc_R32,calc_R33,calc_03,calc_TX,calc_TY,calc_TZ,calc_1
-0.586154655,0.588647883,0.556701348,0,0.785099979,0.582379038,0.210838038,0,-0.200101831,0.560649914,-0.803511625,0,-3.495074092,-6.884995801,5.219355459,1
-0.591024779,0.590783833,0.549239633,0,0.782570568,0.585069884,0.212782839,0,-0.195634907,0.555578702,-0.808120838,0,-3.496406922,-6.866470285,5.271009324,1
-0.595827246,0.592892796,0.541726892,0,0.780037829,0.587758081,0.214665843,0,-0.191130526,0.550471227,-0.812681088,0,-3.498372772,-6.847482648,5.322700375,1
-0.600560607,0.594970685,0.534169299,0,0.777502624,0.590442623,0.216488287,0,-0.186592138,0.545332369,-0.817187849,0,-3.500951582,-6.828053395,5.374354457,1
-0.60523309,0.596999493,0.526578116,0,0.774958374,0.593126959,0.218265731,0,-0.182023147,0.540177763,-0.821629818,0,-3.50404973,-6.808247202,5.425759545,1
-0.609843889,0.598978785,0.518955535,0,0.772406239,0.595809278,0.219999787,0,-0.177423318,0.535010018,-0.826005597,0,-3.507678172,-6.78807803,5.476887393,1
-0.614389734,0.600910572,0.51130396,0,0.769849301,0.598486198,0.221689704,0,-0.172792677,0.529830874,-0.830314359,0,-3.51186471,-6.767557986,5.527722661,1
-0.618868732,0.602796835,0.503624332,0,0.767289748,0.601155397,0.223335244,0,-0.168130707,0.524640986,-0.83455611,0,-3.516631816,-6.7466935,5.578262358,1
-0.623591038,0.604013612,0.496287995,0,0.7638712,0.605791023,0.222526461,0,-0.1662378,0.517865613,-0.839154456,0,-3.492505879,-6.717971869,5.64752751,1
-0.628362087,0.605183036,0.488788891,0,0.760390406,0.610456705,0.221695833,0,-0.164217899,0.51097564,-0.843763224,0,-3.46903682,-6.688113936,5.71775046,1
-0.633178698,0.606301544,0.481126983,0,0.756847906,0.61515007,0.220843017,0,-0.162067835,0.503973044,-0.848377974,0,-3.446270096,-6.657111501,5.78889305,1
-0.638038166,0.607364628,0.473302764,0,0.75324371,0.619869245,0.219968253,0,-0.15978489,0.496860471,-0.852993822,0,-3.424242871,-6.624959658,5.860908422,1
-0.642938012,0.60836813,0.465315947,0,0.749577554,0.624612941,0.21907114,0,-0.157366463,0.489639553,-0.857606498,0,-3.40298947,-6.591648103,5.933761657,1
-0.647872997,0.609310107,0.457167118,0,0.745851272,0.629378373,0.218148443,0,-0.154811045,0.482311162,-0.862211971,0,-3.382555638,-6.557164635,6.007426341,1
-0.652839901,0.610184007,0.44886027,0,0.742064842,0.634163419,0.217201585,0,-0.15211783,0.474881286,-0.866803282,0,-3.362964185,-6.521522807,6.081816079,1
-0.657832205,0.610985363,0.440401721,0,0.738220849,0.638963754,0.216229737,0,-0.149287532,0.467356617,-0.871373069,0,-3.34424992,-6.484744217,6.156837966,1
-0.662840925,0.611713418,0.431796946,0,0.734324152,0.643773812,0.215228527,0,-0.146321388,0.459741202,-0.875915566,0,-3.326463685,-6.446840067,6.232430863,1
-0.66785658,0.612368911,0.423050712,0,0.730380247,0.648588058,0.214192031,0,-0.143221099,0.452037441,-0.880425959,0,-3.309656336,-6.407814988,6.30855064,1
-0.672866314,0.612944032,0.414186597,0,0.726397,0.653395177,0.213124708,0,-0.139994007,0.444268338,-0.88488831,0,-3.293853209,-6.36779482,6.384924167,1
-0.677861744,0.613433708,0.405219128,0,0.722379179,0.658188398,0.212029135,0,-0.13664471,0.4364483,-0.889292474,0,-3.279071292,-6.326858466,6.46138105,1
-0.682837905,0.613837102,0.396152002,0,0.71832911,0.662965635,0.210902481,0,-0.133175396,0.428579723,-0.893635124,0,-3.265323656,-6.285015485,6.537884225,1
-0.68778444,0.614157372,0.386992618,0,0.714253897,0.667721199,0.209737385,0,-0.129591414,0.420665095,-0.897912548,0,-3.252639078,-6.242281993,6.614392204,1
-0.69269636,0.614394478,0.377744858,0,0.71015666,0.672451937,0.208532758,0,-0.125893887,0.412707909,-0.902121339,0,-3.241043412,-6.198676884,6.690860199,1
-0.697568829,0.614551259,0.368408033,0,0.706041682,0.677152483,0.207291242,0,-0.122077321,0.404711336,-0.906259269,0,-3.230624961,-6.154222155,6.767261941,1
-0.702392864,0.614630367,0.35898994,0,0.701916102,0.681816005,0.206011456,0,-0.118144191,0.396681796,-0.910321648,0,-3.221431991,-6.108961978,6.843523446,1
-0.707168244,0.614629652,0.349490295,0,0.697778996,0.686443654,0.204693874,0,-0.11409447,0.388619995,-0.914306815,0,-3.213462352,-6.062896587,6.9196294,1
-0.711910637,0.61454001,0.339887954,0,0.693614752,0.691050133,0.203342787,0,-0.109917337,0.380513192,-0.918219957,0,-3.206677785,-6.015924332,6.995711276,1
